events_id,E_sum_cen_biletow_z_rynku_w,E_srednia_cena_biletow_z_rynku_w,E_liczba_biletow_z_rynku_w,E_dostepne_sektory
259332,0,0,0,event z jadną głowna salą
259337,0,0,0,event z jadną głowna salą
369197,0,0,0,event z jadną głowna salą
369595,0,0,0,event z jadną głowna salą
369596,0,0,0,event z jadną głowna salą
354057,55,55,1,event z jadną głowna salą
384939,175,25,7,event bez numerowanych miejsc
376594,0,0,0,event bez numerowanych miejsc
376605,0,0,0,event bez numerowanych miejsc
349869,280,20,14,event z jadną głowna salą
338152,240,20,12,event z jadną głowna salą
334014,420,20,21,event z jadną głowna salą
329794,300,10,30,event z jadną głowna salą
332930,285,15,19,event z jadną głowna salą
339664,315,15,21,event z jadną głowna salą
336511,420,20,21,event z jadną głowna salą
335760,330,15,22,event z jadną głowna salą
388749,600,25,24,event z jadną głowna salą
327886,225,15,15,event z jadną głowna salą
381659,110,10,11,event z jadną głowna salą
326063,380,20,19,event z jadną głowna salą
345218,270,15,18,event z jadną głowna salą
344029,630,45,14,event z jadną głowna salą
379979,400,25,16,event z jadną głowna salą
340865,255,15,17,event z jadną głowna salą
386403,160,10,16,event z jadną głowna salą
393925,350,25,14,event bez numerowanych miejsc
411192,0,0,0,event bez numerowanych miejsc
353168,0,0,0,event z jadną głowna salą
413457,200,20,10,event bez numerowanych miejsc
415714,0,0,0,event bez numerowanych miejsc
382463,2090,110,19,event z jadną głowna salą
343856,1610,115,14,event z jadną głowna salą
330427,1330,70,19,event z jadną głowna salą
309925,500,20,25,event z jadną głowna salą
312996,0,0,0,event z jadną głowna salą
270394,6225,15,415,event z jadną głowna salą
337598,0,0,0,event z jadną głowna salą
